,BIOGRAPHICAL INFORMATION,,,,,,,,,,,,,,TEST SCORES,,,,,,,,,,,,,,,OUTPUT
Candidate ID,Name,Number of characters in Original Name,Month of Birth,Year of Birth,Gender,State (Location), 10th percentage, 12th [percentage,10th Completion Year,12th Completion year,Degree of study,Specialization in study, College percentage, Year of Completion of college, English 1,English 2,English 3,English 4,Quantitative Ability 1,Quantitative Ability 2,Quantitative Ability 3,Quantitative Ability 4,Domain Skills 1,Domain Skills 2,Domain Test 3,Domain Test 4,Analytical Skills 1,Analytical Skills 2,Analytical Skills 3,Performance
5,LaK,18,MAR,Y8,B,A,90.3,96,Y14,Y16,X,C,85,Y20,54.71698113,66.87898089,56.36363636,97.54601227,29.50819672,67.66467066,47.48603352,49.13294798,21.42857143,45.32374101,43.44827586,54.74452555,60,58.2278481,72.4137931,MP
9,AlV,17,JAN,Y7,A,B,85,65.33,Y13,Y15,X,B,65.25,Y20,33.96226415,65.60509554,63.63636364,59.50920245,50.81967213,76.04790419,62.01117318,53.75722543,32.14285714,52.51798561,61.37931034,51.82481752,63.63636364,37.97468354,83.90804598,LP
13,RiV,10,APR,Y8,B,A,77.4,81.8,Y14,Y16,X,B,75.51,Y20,33.96226415,59.23566879,63.63636364,55.82822086,63.93442623,73.65269461,76.53631285,54.9132948,58.92857143,75.53956835,71.03448276,70.80291971,70.90909091,73.41772152,70.11494253,BP
14,RaS,10,JUL,Y8,B,C,90.16,95.3,Y14,Y17,X,B,77.8,Y20,45.28301887,64.33121019,61.21212121,65.64417178,32.78688525,50.89820359,57.54189944,46.82080925,42.85714286,71.22302158,53.10344828,56.20437956,40,65.82278481,28.73563218,BP
15,MhR,12,NOV,Y7,A,A,86.5,85.4,Y14,Y16,X,B,75,Y20,60.37735849,74.52229299,72.12121212,71.7791411,42.62295082,65.26946108,57.54189944,58.38150289,46.42857143,68.34532374,55.86206897,70.80291971,76.36363636,68.35443038,79.31034483,BP
16,SaB,23,APR,Y8,A,C,89.33,91.1,Y14,Y16,X,B,68.75,Y20,64.1509434,71.97452229,67.27272727,82.82208589,78.68852459,86.82634731,66.48044693,80.34682081,57.14285714,84.17266187,80.68965517,54.74452555,70.90909091,75.94936709,67.81609195,MP
17,NaB,13,DEC,Y7,B,C,92,94.6,Y14,Y16,X,B,84,Y20,56.60377358,84.7133758,67.27272727,70.55214724,67.21311475,82.03592814,58.65921788,60.69364162,46.42857143,58.27338129,53.10344828,82.48175182,74.54545455,65.82278481,79.31034483,BP
18,JnC,14,APR,Y8,A,A,83.27,90.5,Y14,Y16,X,B,74.93,Y20,67.9245283,69.42675159,81.81818182,80.36809816,54.09836066,61.67664671,69.83240223,56.06936416,53.57142857,69.78417266,58.62068966,79.5620438,85.45454545,88.60759494,81.6091954,BP
19,HyT,12,DEC,Y6,B,D,81,93,Y14,Y16,X,L,77,Y20,77.35849057,73.24840764,85.45454545,81.59509202,32.78688525,54.49101796,50.83798883,58.38150289,39.28571429,56.83453237,55.86206897,66.42335766,43.63636364,70.88607595,33.33333333,MP
20,RiS,12,NOV,Y7,B,A,89.09,93.75,Y14,Y16,X,B,84.43,Y20,32.0754717,55.41401274,52.72727273,77.91411043,21.31147541,49.7005988,45.25139665,52.60115607,46.42857143,69.78417266,60,62.04379562,50.90909091,68.35443038,42.52873563,BP
21,UiR,18,JAN,Y8,B,A,93.5,92.5,Y14,Y16,X,I,78.68,Y20,69.81132075,78.34394904,75.75757576,81.59509202,31.14754098,58.08383234,63.12849162,65.31791908,33.92857143,48.20143885,60,76.64233577,74.54545455,73.41772152,79.31034483,MP
23,ShK,20,NOV,Y7,A,A,86.36,94.25,Y14,Y16,X,B,70.83,Y20,35.8490566,60.50955414,47.87878788,70.55214724,44.26229508,49.7005988,67.59776536,64.16184971,21.42857143,43.88489209,60,45.98540146,63.63636364,68.35443038,63.2183908,BP
24,MhM,15,JUN,Y7,A,E,84.96,85.16,Y14,Y16,X,B,71.15,Y20,26.41509434,59.23566879,52.72727273,65.64417178,47.54098361,68.86227545,57.54189944,51.44508671,35.71428571,75.53956835,48.96551724,48.90510949,72.72727273,75.94936709,74.71264368,BP
25,VaS,17,MAR,Y8,B,C,84.83,93.4,Y14,Y16,X,B,74.79,Y20,39.62264151,61.78343949,61.21212121,69.32515337,47.54098361,65.26946108,57.54189944,64.16184971,30.35714286,53.95683453,43.44827586,63.50364964,67.27272727,70.88607595,67.81609195,BP
